frame,class_id,class_name,confidence,x1,y1,x2,y2
227,5,speedboat,0.8633,881.9,371.9,1023.1,442.5
228,5,speedboat,0.8714,883.9,371.7,1026.7,442.6
229,5,speedboat,0.8591,885.8,372.8,1025.9,443.7
230,5,speedboat,0.8697,887.8,371.5,1030.2,443.5
231,5,speedboat,0.8613,890.2,370.5,1034.3,443.0
232,5,speedboat,0.8672,890.2,370.5,1034.2,443.0
233,5,speedboat,0.8793,892.6,371.5,1033.9,443.9
234,5,speedboat,0.832,893.3,371.6,1035.4,443.4
235,5,speedboat,0.8929,894.5,371.3,1035.1,442.3
236,5,speedboat,0.878,896.4,370.0,1035.6,441.4
237,5,speedboat,0.8777,896.4,370.1,1035.6,441.4
238,5,speedboat,0.874,899.2,369.3,1037.7,442.0
239,5,speedboat,0.883,904.4,368.5,1042.4,442.7
240,5,speedboat,0.8886,906.1,368.4,1043.6,441.5
241,5,speedboat,0.8859,910.0,369.1,1045.6,439.6
242,5,speedboat,0.886,910.0,369.1,1045.6,439.6
243,5,speedboat,0.885,911.0,370.7,1048.2,439.1
244,5,speedboat,0.8893,912.5,370.0,1049.8,439.1
245,5,speedboat,0.8887,914.2,370.9,1051.7,439.1
246,5,speedboat,0.8771,916.2,371.2,1054.9,440.4
247,5,speedboat,0.8771,916.2,371.2,1054.9,440.4
248,5,speedboat,0.8774,917.1,369.5,1056.1,440.0
249,5,speedboat,0.8909,918.1,371.5,1060.1,439.2
250,5,speedboat,0.8811,919.9,372.2,1060.9,439.4
251,5,speedboat,0.8811,919.9,372.1,1060.9,439.4
252,5,speedboat,0.8852,921.6,370.6,1063.6,440.0
253,5,speedboat,0.8924,925.6,371.2,1065.0,440.1
254,5,speedboat,0.885,927.8,371.3,1066.4,438.7
255,5,speedboat,0.8782,929.8,370.0,1071.5,440.3
256,5,speedboat,0.8781,929.8,370.0,1071.5,440.3
257,5,speedboat,0.8915,932.6,370.0,1071.4,440.5
258,5,speedboat,0.8963,935.1,369.8,1073.1,438.8
259,5,speedboat,0.8912,935.5,368.4,1077.5,439.1
260,5,speedboat,0.8859,938.6,368.8,1081.1,439.3
261,5,speedboat,0.8859,938.6,368.9,1081.2,439.3
262,5,speedboat,0.8508,940.2,368.4,1080.4,438.5
263,5,speedboat,0.8928,943.3,368.6,1083.3,438.8
264,5,speedboat,0.8945,945.6,367.7,1084.7,438.6
265,5,speedboat,0.8932,947.0,367.7,1088.1,437.2
266,5,speedboat,0.8932,947.0,367.6,1088.1,437.2
267,5,speedboat,0.8895,951.9,368.4,1093.4,439.1
268,5,speedboat,0.8911,953.9,367.7,1096.0,438.8
269,5,speedboat,0.891,955.2,367.2,1096.8,437.0
270,5,speedboat,0.905,958.4,367.1,1098.7,436.9
271,5,speedboat,0.9048,958.4,367.1,1098.7,436.9
272,5,speedboat,0.8913,959.7,366.4,1101.2,436.7
273,5,speedboat,0.8861,962.2,365.6,1104.8,437.5
275,5,speedboat,0.8749,965.5,366.1,1108.2,438.5
276,5,speedboat,0.875,965.5,366.1,1108.2,438.5
277,5,speedboat,0.8729,968.2,366.2,1109.2,438.3
278,5,speedboat,0.8814,969.2,366.5,1111.8,438.7
279,5,speedboat,0.8747,970.6,366.3,1113.0,438.8
280,5,speedboat,0.8802,975.6,367.3,1118.6,438.0
281,5,speedboat,0.8802,975.5,367.3,1118.6,437.9
282,5,speedboat,0.8815,978.5,365.4,1120.5,438.3
283,5,speedboat,0.8866,982.0,366.3,1119.6,436.8
284,5,speedboat,0.8961,982.8,366.7,1122.2,437.1
285,5,speedboat,0.8917,983.0,365.7,1126.8,435.8
286,5,speedboat,0.8917,983.0,365.7,1126.9,435.8
287,5,speedboat,0.8912,988.0,366.7,1125.9,436.4
288,5,speedboat,0.8963,988.6,364.0,1129.8,435.5
289,5,speedboat,0.8982,989.3,364.4,1130.7,434.9
290,5,speedboat,0.8875,992.3,364.2,1132.5,435.3
291,5,speedboat,0.8876,992.3,364.2,1132.6,435.3
292,5,speedboat,0.8909,994.0,363.8,1135.5,434.1
293,5,speedboat,0.896,998.2,364.5,1135.8,435.1
294,5,speedboat,0.8921,1002.5,362.9,1138.7,435.6
295,5,speedboat,0.8978,1005.0,363.4,1143.4,436.3
296,5,speedboat,0.8977,1005.0,363.4,1143.4,436.3
297,5,speedboat,0.8984,1004.9,362.4,1144.3,434.9
298,5,speedboat,0.9014,1006.5,362.2,1147.1,435.5
299,5,speedboat,0.8979,1009.9,362.5,1148.4,435.0
300,5,speedboat,0.9009,1012.0,363.0,1149.7,434.0
301,5,speedboat,0.9009,1012.0,363.0,1149.7,434.0
302,5,speedboat,0.9106,1015.1,363.5,1150.4,432.4
303,5,speedboat,0.9073,1017.2,362.1,1155.4,431.2
304,5,speedboat,0.9097,1020.2,362.5,1160.1,430.7
305,5,speedboat,0.9068,1023.3,362.2,1161.5,430.0
306,5,speedboat,0.9068,1023.3,362.2,1161.5,430.0
307,5,speedboat,0.9074,1025.3,362.0,1164.9,430.0
308,5,speedboat,0.9003,1028.3,361.9,1169.1,430.2
309,5,speedboat,0.9018,1029.6,361.1,1173.4,430.0
310,5,speedboat,0.9004,1034.6,361.8,1173.6,429.2
311,5,speedboat,0.9005,1034.6,361.8,1173.7,429.1
312,5,speedboat,0.8942,1036.9,361.2,1174.5,432.0
313,5,speedboat,0.8943,1038.1,360.4,1176.6,430.8
314,5,speedboat,0.8897,1041.5,358.6,1181.0,432.6
315,5,speedboat,0.8898,1045.5,358.2,1184.5,430.4
316,5,speedboat,0.89,1045.5,358.2,1184.5,430.5
317,5,speedboat,0.8907,1049.2,359.0,1188.5,429.6
318,5,speedboat,0.8983,1052.8,359.5,1191.1,427.8
319,5,speedboat,0.897,1055.2,358.6,1193.6,428.8
320,5,speedboat,0.9067,1057.7,360.0,1196.3,428.6
321,5,speedboat,0.9067,1057.7,360.0,1196.3,428.6
322,5,speedboat,0.9077,1060.3,361.0,1198.4,427.9
323,5,speedboat,0.906,1063.1,361.5,1196.8,427.5
324,5,speedboat,0.8925,1063.9,360.0,1201.4,428.4
325,5,speedboat,0.8859,1065.2,359.2,1206.3,427.0
326,5,speedboat,0.886,1065.2,359.3,1206.3,427.0
327,5,speedboat,0.8791,1070.1,358.6,1210.5,428.7
328,5,speedboat,0.8795,1072.0,357.5,1213.9,427.3
329,5,speedboat,0.8982,1075.3,356.4,1217.2,425.8
330,5,speedboat,0.8974,1077.3,357.5,1219.1,424.6
331,5,speedboat,0.8976,1077.3,357.5,1219.1,424.6
332,5,speedboat,0.8919,1082.9,357.8,1221.7,424.6
333,5,speedboat,0.8946,1084.8,357.2,1222.2,424.8
334,5,speedboat,0.8851,1086.3,357.3,1224.1,424.4
335,5,speedboat,0.8923,1087.5,356.0,1227.5,424.1
336,5,speedboat,0.8924,1087.5,356.0,1227.5,424.1
337,5,speedboat,0.8957,1092.5,355.6,1234.1,424.2
338,5,speedboat,0.8936,1094.8,353.6,1236.9,425.6
339,5,speedboat,0.9075,1099.4,354.1,1240.3,425.5
340,5,speedboat,0.8937,1100.8,354.0,1243.0,423.8
341,5,speedboat,0.894,1100.9,354.0,1243.1,423.9
342,5,speedboat,0.9084,1107.6,354.2,1246.0,424.4
343,5,speedboat,0.8873,1109.7,353.7,1245.8,423.4
344,5,speedboat,0.8695,1113.4,354.8,1248.8,420.1
345,5,speedboat,0.8835,1115.6,354.7,1253.6,421.4
346,5,speedboat,0.8834,1115.6,354.7,1253.7,421.4
347,5,speedboat,0.8868,1121.4,353.7,1258.5,422.1
348,5,speedboat,0.8824,1123.6,353.2,1260.3,421.6
348,5,speedboat,0.7039,0.4,237.6,50.2,321.1
349,5,speedboat,0.8826,1127.4,352.9,1264.6,422.8
350,5,speedboat,0.8687,1131.9,352.4,1271.2,422.8
351,5,speedboat,0.8686,1131.8,352.4,1271.2,422.8
352,5,speedboat,0.8743,1133.0,351.6,1271.6,420.6
353,5,speedboat,0.8901,1135.2,352.2,1273.5,420.7
353,5,speedboat,0.738,0.4,229.7,62.0,316.7
354,5,speedboat,0.8709,1136.7,350.6,1279.4,420.6
355,5,speedboat,0.878,1144.4,350.9,1283.8,420.6
356,5,speedboat,0.8775,1144.4,350.9,1283.7,420.7
357,5,speedboat,0.8645,1148.5,350.4,1287.2,420.4
